date,count,,,date,,,date,,,,
2023/6/13,1,,,2024/3/1,1,,2024/3/6,,,,
2023/5/31,1,,,2024/2/29,17,,2024/3/5,,,,
2023/6/2,1,,,2024/2/28,25,,2024/3/4,,,,
2023/5/31,1,,,2024/2/27,14,,2024/3/1,1,,,
2023/6/7,1,,,2024/2/26,11,,2024/2/29,17,,,
2023/5/31,1,,,2024/2/23,10,,2024/2/28,25,,,
2023/6/1,1,,,2024/2/22,14,,2024/2/27,14,,,
2023/6/1,1,,,2024/2/21,14,,2024/2/26,11,,,
2023/6/1,1,,,2024/2/20,11,,2024/2/23,10,,,     
2023/6/2,1,,,2024/2/19,7,,2024/2/22,14,,,
2023/6/1,1,,,2024/2/9,1,,2024/2/21,14,,,
2023/6/2,1,,,2024/2/8,6,,2024/2/20,11,,,
2023/6/1,1,,,2024/2/7,11,,2024/2/19,7,,,
2023/6/2,1,,,2024/2/6,15,,2024/2/8,6,,,
2023/6/2,1,,,2024/2/5,6,,2024/2/7,11,,,
2023/5/31,1,,,2024/2/4,1,,2024/2/6,15,,,
2023/5/31,1,,,2024/2/2,16,,2024/2/5,6,,,
2023/6/1,1,,,2024/2/1,19,,2024/2/2,16,,,
2023/6/1,1,,,2024/1/31,14,,2024/2/1,19,,,
2023/5/31,1,,,2024/1/30,16,,2024/1/31,14,,,
2023/5/31,1,,,2024/1/29,7,,2024/1/30,16,,,
2023/6/1,1,,,2024/1/26,10,,2024/1/29,7,,,
2023/5/31,1,,,2024/1/25,18,,2024/1/26,10,,,
2023/5/31,1,,,2024/1/24,20,,2024/1/25,18,,,
2023/6/1,1,,,2024/1/23,2,,2024/1/24,20,,,
2023/6/1,1,,,2024/1/22,10,,2024/1/23,2,,,
2023/6/2,1,,,2024/1/19,16,,2024/1/22,10,,,
2023/6/1,1,,,2024/1/18,17,,2024/1/19,16,,,
2023/5/31,1,,,2024/1/17,24,,2024/1/18,17,,,
2023/6/1,1,,,2024/1/16,26,,2024/1/17,24,,,
2023/6/1,1,,,2024/1/15,24,,2024/1/16,26,,,
2023/5/31,1,,,2024/1/14,1,,2024/1/15,24,,,
2023/6/1,1,,,2024/1/12,22,,2024/1/12,22,,,
2023/6/1,1,,,2024/1/11,31,,2024/1/11,31,,,
2023/6/1,1,,,2024/1/10,35,,2024/1/10,35,,,
2023/6/1,1,,,2024/1/9,29,,2024/1/9,29,,,
2023/6/1,1,,,2024/1/8,15,,2024/1/8,15,,,
2023/6/1,1,,,2024/1/5,27,,2024/1/5,27,,,
2023/6/1,1,,,2024/1/4,46,,2024/1/4,46,,,
2023/6/1,1,,,2024/1/3,42,,2024/1/3,42,,,
2023/6/1,1,,,2024/1/2,32,,2024/1/2,32,,,
2023/6/8,1,,,2024/1/1,2,,2023/12/29,28,,,
2023/6/1,1,,,2023/12/31,1,,2023/12/28,49,,,
2023/6/1,1,,,2023/12/29,28,,2023/12/27,47,,,
2023/6/2,1,,,2023/12/28,49,,2023/12/26,50,,,
2023/6/1,1,,,2023/12/27,47,,2023/12/25,29,,,
2023/6/1,1,,,2023/12/26,50,,2023/12/22,33,,,
2023/6/2,1,,,2023/12/25,29,,2023/12/21,50,,,
2023/6/2,1,,,2023/12/24,1,,2023/12/20,45,,,
2023/6/5,1,,,2023/12/22,33,,2023/12/19,45,,,
2023/6/2,1,,,2023/12/21,50,,2023/12/18,31,,,
2023/6/2,1,,,2023/12/20,45,,2023/12/15,30,,,
2023/6/2,1,,,2023/12/19,45,,2023/12/14,37,,,
2023/6/5,1,,,2023/12/18,31,,2023/12/13,24,,,
2023/6/2,1,,,2023/12/17,1,,2023/12/12,20,,,
2023/6/2,1,,,2023/12/16,1,,2023/12/11,4,,,
2023/6/2,1,,,2023/12/15,30,,2023/12/8,6,,,
2023/6/2,1,,,2023/12/14,37,,2023/12/7,8,,,
2023/6/5,1,,,2023/12/13,24,,2023/12/6,7,,,
2023/6/6,1,,,2023/12/12,20,,2023/12/5,7,,,
2023/6/8,1,,,2023/12/11,4,,2023/12/4,5,,,
2023/6/6,1,,,2023/12/8,6,,2023/12/1,5,,,
2023/6/8,1,,,2023/12/7,8,,2023/11/30,7,,,
2023/6/7,1,,,2023/12/6,7,,2023/11/29,7,,,
2023/6/5,1,,,2023/12/5,7,,2023/11/28,2,,,
2023/6/2,1,,,2023/12/4,5,,2023/11/27,5,,,
2023/6/5,1,,,2023/12/1,5,,2023/11/24,,,,
2023/6/5,1,,,2023/11/30,7,,2023/11/23,4,,,
2023/6/6,1,,,2023/11/29,7,,2023/11/22,,,,
2023/6/7,1,,,2023/11/28,2,,2023/11/21,1,,,
2023/6/6,1,,,2023/11/27,5,,2023/11/20,3,,,
2023/6/5,1,,,2023/11/23,4,,2023/11/17,3,,,
2023/6/7,1,,,2023/11/21,1,,2023/11/16,5,,,
2023/6/5,1,,,2023/11/20,3,,2023/11/15,5,,,
2023/6/5,1,,,2023/11/17,3,,2023/11/14,4,,,
2023/6/5,1,,,2023/11/16,5,,2023/11/13,3,,,
2023/6/5,1,,,2023/11/15,5,,2023/11/10,7,,,
2023/6/7,1,,,2023/11/14,4,,2023/11/9,16,,,
2023/6/5,1,,,2023/11/13,3,,2023/11/8,11,,,
2023/6/5,1,,,2023/11/10,7,,2023/11/7,19,,,
2023/6/6,1,,,2023/11/9,16,,2023/11/6,29,,,
2023/6/5,1,,,2023/11/8,11,,2023/11/3,45,,,
2023/6/7,1,,,2023/11/7,19,,2023/11/2,27,,,
2023/6/6,1,,,2023/11/6,29,,2023/11/1,34,,,
2023/6/5,1,,,2023/11/5,1,,2023/10/31,35,,,
2023/6/7,1,,,2023/11/3,45,,2023/10/30,38,,,
2023/6/6,1,,,2023/11/2,27,,2023/10/27,26,,,
2023/6/6,1,,,2023/11/1,34,,2023/10/26,51,,,
2023/6/5,1,,,2023/10/31,35,,2023/10/25,37,,,
2023/6/6,1,,,2023/10/30,38,,2023/10/24,42,,,
2023/6/6,1,,,2023/10/27,26,,2023/10/23,35,,,
2023/6/5,1,,,2023/10/26,51,,2023/10/20,25,,,
2023/6/6,1,,,2023/10/25,37,,2023/10/19,44,,,
2023/6/6,1,,,2023/10/24,42,,2023/10/18,43,,,
2023/6/6,1,,,2023/10/23,35,,2023/10/17,31,,,
2023/6/6,1,,,2023/10/22,1,,2023/10/16,34,,,
2023/6/6,1,,,2023/10/21,3,,2023/10/13,31,,,
2023/6/6,1,,,2023/10/20,25,,2023/10/12,49,,,
2023/6/7,1,,,2023/10/19,44,,2023/10/11,36,,,
2023/6/6,1,,,2023/10/18,43,,2023/10/10,39,,,
2023/6/6,1,,,2023/10/17,31,,2023/10/9,27,,,
2023/6/7,1,,,2023/10/16,34,,2023/9/28,35,,,
2023/6/8,1,,,2023/10/15,1,,2023/9/27,56,,,
2023/6/6,1,,,2023/10/13,31,,2023/9/26,43,,,
2023/6/6,1,,,2023/10/12,49,,2023/9/25,37,,,
2023/6/9,1,,,2023/10/11,36,,2023/9/22,38,,,
2023/6/6,1,,,2023/10/10,39,,2023/9/21,57,,,
