日期,txt数量,对数收益率,历史n3波动率,历史n5波动率,历史n10波动率,历史n20波动率,历史n40波动率,未来n3波动率,未来n5波动率,未来n10波动率,未来n20波动率,val
2024/2/22,14,0.0127,0.012594201,0.055299476,0.060960696,0.211238567,0.245276923,0.197278578,0.146275532,0.225251942,0.163822219,1
2024/2/21,14,0.0097,0.00961243,0.073097623,0.064238964,0.232259568,0.255545398,0.194859754,0.144914943,0.202274205,0.169440193,0
2024/2/20,11,0.0042,0.00417948,0.076222574,0.142468994,0.253268787,0.253710298,0.193621898,0.046082307,0.130468849,0.169322195,0
2024/2/19,7,0.0156,0.015456194,0.017867721,0.213397128,0.25755576,0.253406511,0.193749796,0.055299476,0.119561482,0.16916107,0
2024/2/8,6,0.0128,0.012711738,0.137220357,0.272480284,0.244695735,0.247520303,0.189603533,0.073097623,0.067073783,0.177216819,0
2024/2/7,11,0.0144,0.014311916,0.274074256,0.278390876,0.280454815,0.243323504,0.188196344,0.076222574,0.060960696,0.180201271,0
2024/2/6,15,0.0323,0.031796228,0.332935958,0.280078059,0.28530501,0.237337995,0.184440162,0.017867721,0.064238964,0.172779201,1
2024/2/5,6,-0.0102,-0.010293997,0.054160922,0.066525936,0.236111309,0.204223857,0.165395768,0.137220357,0.142468994,0.155812094,1
2024/2/2,16,-0.0146,-0.01475788,0.06319096,0.068878504,0.263221658,0.206418477,0.164362829,0.274074256,0.213397128,0.185028063,0
2024/2/1,19,-0.0064,-0.006407315,0.08050997,0.109795409,0.256839148,0.203254539,0.161182253,0.332935958,0.272480284,0.199593137,0
2024/1/31,14,-0.0148,-0.014942226,0.060275936,0.27634265,0.257964381,0.20297151,0.160746881,0.054160922,0.278390876,0.211238567,0
2024/1/30,16,-0.0183,-0.018492308,0.129119364,0.279052162,0.267446079,0.198862451,0.161830919,0.06319096,0.280078059,0.232259568,0
2024/1/29,7,-0.0092,-0.009272399,0.261776329,0.214818378,0.253623732,0.19014336,0.156115939,0.08050997,0.066525936,0.253268787,0
2024/1/26,10,0.0014,0.001413263,0.184737538,0.303436284,0.248953069,0.190075417,0.154836763,0.060275936,0.068878504,0.25755576,0
2024/1/25,18,0.0303,0.02980552,0.158842869,0.31000778,0.249237267,0.196454981,0.154986897,0.129119364,0.109795409,0.244695735,0
2024/1/24,20,0.018,0.017808849,0.300967572,0.237661584,0.197694059,0.165243583,0.134118229,0.261776329,0.27634265,0.280454815,0
2024/1/23,2,0.0053,0.005297336,0.21549608,0.209971615,0.167720565,0.150562053,0.12497715,0.184737538,0.279052162,0.28530501,1
2024/1/22,10,-0.0268,-0.027178328,0.209948875,0.201633189,0.163617424,0.14857091,0.12350591,0.158842869,0.214818378,0.236111309,0
2024/1/19,16,-0.0047,-0.004755154,0.166619829,0.147926685,0.126172668,0.119112412,0.107050017,0.300967572,0.303436284,0.263221658,0
2024/1/18,17,0.0043,0.004282149,0.184046606,0.147903572,0.128505662,0.12099579,0.108571577,0.21549608,0.31000778,0.256839148,0
2024/1/17,24,-0.0209,-0.021081127,0.17348256,0.145206821,0.121291677,0.123567429,0.10857521,0.209948875,0.237661584,0.257964381,0
2024/1/16,26,0.0027,0.002664232,0.028695996,0.050512228,0.086968243,0.101547709,0.097180834,0.166619829,0.209971615,0.267446079,0
2024/1/15,24,0.0015,0.001494382,0.031129498,0.048879459,0.083109854,0.101441297,0.097798374,0.184046606,0.201633189,0.253623732,1
2024/1/12,22,-0.0016,-0.001619102,0.05516552,0.09975023,0.093622147,0.102223282,0.097733718,0.17348256,0.147926685,0.248953069,0
2024/1/11,31,0.0031,0.003105296,0.059788787,0.103685587,0.121378512,0.102449881,0.098760017,0.028695996,0.147903572,0.249237267,0
2024/1/10,35,-0.0054,-0.005389074,0.105753385,0.084691596,0.123799702,0.10685195,0.099633814,0.031129498,0.145206821,0.197694059,0
2024/1/9,29,0.002,0.001975509,0.107089229,0.098551081,0.125371623,0.108184578,0.099776805,0.05516552,0.050512228,0.167720565,0
2024/1/8,15,-0.0142,-0.014317592,0.064816536,0.084107532,0.125062341,0.111987755,0.099889704,0.059788787,0.048879459,0.163617424,0
2024/1/5,27,-0.0085,-0.00855614,0.066668293,0.085388877,0.103490865,0.101829276,0.094688128,0.105753385,0.09975023,0.126172668,1
2024/1/4,46,-0.0043,-0.004356937,0.044795359,0.109166575,0.094422257,0.097680746,0.092782413,0.107089229,0.103685587,0.128505662,0
2024/1/3,42,0.0017,0.001676356,0.071897646,0.093849375,0.107714208,0.096602309,0.092370469,0.064816536,0.084691596,0.121291677,0
2024/1/2,32,-0.0043,-0.004261267,0.117232193,0.119610504,0.107718378,0.112390529,0.092171157,0.066668293,0.098551081,0.086968243,1
2023/12/29,28,0.0068,0.006823386,0.057188019,0.107167941,0.107404748,0.111989237,0.094896466,0.044795359,0.084107532,0.083109854,0
2023/12/28,49,0.0138,0.013661103,0.133782682,0.109186141,0.106958451,0.108578926,0.095023964,0.071897646,0.085388877,0.093622147,0
2023/12/27,47,0.0054,0.005411565,0.081015227,0.074047586,0.078500481,0.095398923,0.088464341,0.117232193,0.109166575,0.121378512,1
2023/12/26,50,-0.0068,-0.006851543,0.054358158,0.091059232,0.080705331,0.092451036,0.087211814,0.057188019,0.093849375,0.123799702,0
2023/12/25,29,0.0014,0.001381654,0.04608325,0.084278037,0.08588294,0.092236987,0.085939893,0.133782682,0.119610504,0.125371623,0
2023/12/22,33,-0.0013,-0.001347393,0.104495704,0.084126298,0.096615638,0.091523898,0.085918593,0.081015227,0.107167941,0.125062341,0
2023/12/21,50,0.0057,0.005703679,0.10643782,0.086957534,0.097661936,0.092906424,0.089889878,0.054358158,0.109186141,0.103490865,1
2023/12/20,45,-0.0103,-0.010379732,0.071113092,0.056269766,0.089945175,0.09321233,0.089503215,0.04608325,0.074047586,0.094422257,0
2023/12/19,45,0.0005,0.000542367,0.041143241,0.062881313,0.07907494,0.090943185,0.086667534,0.104495704,0.091059232,0.107714208,0
2023/12/18,31,-0.004,-0.004004527,0.015066021,0.079351826,0.107128594,0.090712523,0.088912023,0.10643782,0.084278037,0.107718378,0
2023/12/15,30,-0.0056,-0.005568043,0.055723194,0.107662924,0.107021574,0.093470919,0.095669865,0.071113092,0.084126298,0.107404748,0
2023/12/14,37,-0.0033,-0.003296363,0.101283698,0.104278665,0.107332203,0.092997467,0.096431817,0.041143241,0.086957534,0.106958451,0
2023/12/13,24,-0.0115,-0.011613941,0.131154026,0.102120364,0.109721922,0.094858702,0.105246422,0.015066021,0.056269766,0.078500481,0
2023/12/12,20,0.004,0.004003422,0.040297773,0.050994219,0.099330864,0.090737544,0.103290198,0.055723194,0.062881313,0.080705331,1
2023/12/11,4,0.0074,0.007341083,0.055740738,0.127086223,0.097370944,0.090193388,0.103068404,0.101283698,0.079351826,0.08588294,0
2023/12/8,6,0.0011,0.00112875,0.016182722,0.103164294,0.085937971,0.086064355,0.101459397,0.131154026,0.107662924,0.096615638,0
2023/12/7,8,-0.0009,-0.000916575,0.118681571,0.101970401,0.086133308,0.086475897,0.102184628,0.040297773,0.104278665,0.097661936,0
2023/12/6,7,-0.0011,-0.001134445,0.111888389,0.109979954,0.09634052,0.086671588,0.105461681,0.055740738,0.102120364,0.089945175,0
2023/12/5,7,-0.0167,-0.01688388,0.120191481,0.108721054,0.099365313,0.086669653,0.10559007,0.016182722,0.050994219,0.07907494,0
2023/12/4,5,-0.0029,-0.002883784,0.036246333,0.050230722,0.06824254,0.065849788,0.098765861,0.118681571,0.127086223,0.107128594,0
2023/12/1,5,0.0006,0.000650025,0.055455244,0.050631706,0.07341918,0.073167254,0.099049959,0.111888389,0.103164294,0.107021574,1
2023/11/30,7,0.0026,0.002637425,0.06000191,0.062238727,0.073682485,0.077148296,0.099084223,0.120191481,0.101970401,0.107332203,1
2023/11/29,7,-0.0056,-0.00556415,0.051756776,0.076965421,0.077178042,0.078429903,0.09890555,0.036246333,0.109979954,0.109721922,1
2023/11/28,2,0.0023,0.00225691,0.059266206,0.084551731,0.080972381,0.075895096,0.098557363,0.055455244,0.108721054,0.099330864,1
2023/11/27,5,-0.003,-0.003053025,0.085390753,0.079833059,0.081840064,0.075672637,0.098967752,0.06000191,0.050230722,0.097370944,1
2023/11/24,,-0.0068,-0.006846031,0.100391004,0.09059993,0.081715283,0.074824533,0.106570974,0.051756776,0.050631706,0.085937971,1
2023/11/23,4,0.006,0.005978264,0.090552867,0.077305575,0.077676893,0.076725413,0.106922638,0.059266206,0.062238727,0.086133308,0
2023/11/22,,-0.0079,-0.007958756,0.081960883,0.077213612,0.071654229,0.075883681,0.106339223,0.085390753,0.076965421,0.09634052,0
2023/11/21,1,-0.0001,-0.000127113,0.031428281,0.071035706,0.059943612,0.068728554,0.104708736,0.100391004,0.084551731,0.099365313,0
2023/11/20,3,0.0046,0.004556828,0.078024297,0.071952463,0.060004084,0.071393807,0.104986729,0.090552867,0.079833059,0.06824254,0
2023/11/17,3,0.0011,0.00112689,0.083113773,0.068528815,0.070885686,0.091649882,0.104383172,0.081960883,0.09059993,0.07341918,1
2023/11/16,5,-0.0071,-0.007152499,0.087021249,0.077434167,0.077038722,0.096403233,0.104381812,0.031428281,0.077305575,0.073682485,0
2023/11/15,5,0.0055,0.005469184,0.020362213,0.054573357,0.070463641,0.112582625,0.103526507,0.078024297,0.077213612,0.077178042,0
2023/11/14,4,0.0031,0.003126539,0.056303823,0.045262407,0.067483467,0.114376619,0.102441772,0.083113773,0.071035706,0.080972381,0
2023/11/13,3,0.0025,0.002484596,0.04771927,0.037575103,0.067366472,0.114384885,0.104456185,0.087021249,0.071952463,0.081840064,0
2023/11/10,7,-0.0047,-0.00469778,0.032682479,0.072974159,0.066853564,0.114739755,0.104206762,0.020362213,0.068528815,0.081715283,0
2023/11/9,16,0.0003,0.000298085,0.012504073,0.068577998,0.072794262,0.115610545,0.107105846,0.056303823,0.077434167,0.077676893,0
2023/11/8,11,-0.0016,-0.001604023,0.075681344,0.083113139,0.073032807,0.120905483,0.107186813,0.04771927,0.054573357,0.071654229,0
